,Product_name,Prices,Description,Reviews
101,"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)","₹10,956","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
102,"REDMI 10 Prime 2022 (Astral White, 64 GB)","₹12,388","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
103,"REDMI Note 9 (Pebble Grey, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.3
104,"POCO M5 (Power Black, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.3
105,"POCO M5 (Yellow, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.3
106,"vivo Y21G (Diamond Glow, 64 GB)","₹13,479","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
107,"realme 50A Prime (Flash Blue, 64 GB)","₹10,839","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",3.9
108,"REDMI 9 Activ (Carbon Black, 128 GB)","₹11,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
109,"Infinix Note 12 TURBO (Force Black, 128 GB)","₹13,999","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
110,"Infinix Note 12 TURBO (Jewel Blue, 128 GB)","₹13,999","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
111,"vivo Y22 (Metaverse Green, 64 GB)","₹14,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
112,"IQOO Z6 Lite 5G (Without Charger) (Stellar Green, 64 GB)","₹14,328","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
113,"realme Narzo 50A Prime (Flash Black, 64 GB)","₹10,519","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",3.9
114,"MOTOROLA g42 (Atlantic Green, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
115,"SAMSUNG Galaxy A04e (Light Blue, 64 GB)","₹9,999","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
116,"SAMSUNG Galaxy M32 Prime Edition (Black, 64 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.3
117,"realme 9i (Prism Blue, 128 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.5
118,"REDMI Note 10T 5G (Mint Green, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.2
119,"REDMI 9 Activ (Metallic Purple, 64 GB)","₹9,595","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
120,"realme 8i (Space Purple, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.5
121,"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)","₹14,389","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.2
122,"SAMSUNG Galaxy A04 (Copper, 128 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",3.9
123,"realme C21 (Cross Black, 64 GB)","₹10,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.4
124,"MOTOROLA g42 (Metallic Rose, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
125,"IQOO Z6 Lite 5G (Stellar Green, 64 GB)","₹13,859","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
126,"REDMI Note 9 (Shadow Black, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.3
127,"Micromax IN Note 1 (White, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.1
128,"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)","₹10,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
129,"SAMSUNG GALAXY M13 5G (Aqua Green, 64 GB)","₹12,599","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4
130,"vivo Y21A (Midnight Blue, 64 GB)","₹13,450","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
131,"realme C21Y (Cross Blue, 32 GB)","₹9,499","<li class=""rgWa7D"">3 GB RAM | 32 GB ROM | Expandable Upto 256 GB</li>",4.6
132,"OPPO K10 (Blue Flame, 128 GB)","₹13,990","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
133,"Redmi 9 (Sporty Orange, 64 GB)","₹10,408","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
134,"realme C25_Y (Metal Grey, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.5
135,"IQOO Z6 44W (Raven Black, 128 GB)","₹14,320","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.2
136,"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹10,488","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.2
137,"vivo Y33s (Midday Dream, 128 GB)","₹18,990","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
138,"OPPO A55 (Mint Green, 64 GB)","₹13,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.3
139,"vivo Y16 (Drizzling Gold, 64 GB)","₹10,928","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
140,"realme C21Y (Cross Black, 64 GB)","₹10,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.5
141,"REDMI 10A SPORT (SLATE GREY, 128 GB)","₹10,887","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
142,"REDMI 9 Activ (Carbon Black, 64 GB)","₹9,450","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
143,"realme C25s (Watery Blue, 64 GB)","₹10,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.4
144,"realme C25s (Watery Grey, 64 GB)","₹10,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.4
145,"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
146,"MOTOROLA G40 Fusion (Dynamic Gray, 64 GB)","₹14,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
147,"OPPO K10 (Black Carbon, 128 GB)","₹13,990","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
148,"Nokia G11 Plus (Grey, 64 GB)","₹10,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",3.8
